employee_id,nationality_group,industry,job_category,monthly_salary_kwd,start_date,end_date,reason_for_leaving,filed_dispute
1001,South Asian,Oil & Gas,Plumber,197.8,2002-08-17,2013-05-12,Resignation,0
1002,Southeast Asian,Construction,Clerk,221.73,2002-09-02,2012-08-04,Resignation,0
1003,Southeast Asian,Oil & Gas,Cook,202.53,2022-10-26,2024-03-14,Termination,0
1004,South Asian,Logistics,Labourer,104.12,2012-11-21,2014-04-29,Resignation,1
1005,South Asian,Retail,Electrician,206.95,2002-07-30,2012-05-24,Resignation,0
1006,Southeast Asian,Hospitality,Nurse,412.71,2011-07-24,2018-05-16,Resignation,0
1007,South Asian,Retail,Driver,147.96,2009-05-21,2017-04-26,Resignation,0
1008,Arab,Oil & Gas,Clerk,166.2,2012-04-28,2023-12-29,Resignation,0
1009,Southeast Asian,Oil & Gas,Cook,176.5,2010-03-10,2016-03-14,Resignation,0
1010,South Asian,Hospitality,Accountant,296.65,2014-07-27,2018-02-03,Termination,0
1011,South Asian,Construction,Manager,527.32,2011-06-26,2019-11-09,Termination,1
1012,South Asian,Oil & Gas,Cook,178.77,2011-11-20,2014-06-15,Resignation,0
1013,Southeast Asian,Health,Accountant,391.57,2013-12-27,2018-07-07,Termination,0
1014,Southeast Asian,Logistics,Plumber,182.96,2001-02-16,2011-11-12,Resignation,0
1015,Western,Retail,Labourer,108.47,2012-09-28,2017-01-17,Contract End,0
1016,Southeast Asian,Construction,Plumber,167.85,2011-02-02,2016-12-10,Resignation,1
1017,South Asian,Construction,Helper,146.91,2010-08-16,2017-01-09,Resignation,0
1018,South Asian,Health,Labourer,127.22,2005-01-14,2016-08-11,Contract End,0
1019,South Asian,Construction,Clerk,232.85,2008-07-19,2018-12-31,Termination,0
1020,Southeast Asian,Construction,Electrician,160.03,2012-08-08,2018-12-11,Termination,0
1021,South Asian,Retail,Plumber,200.21,2001-09-15,2010-01-20,Contract End,0
1022,South Asian,Finance,Labourer,117.04,2009-05-09,2010-09-25,Resignation,0
1023,South Asian,Construction,Cook,144.76,2011-01-20,2013-06-19,Contract End,0
1024,South Asian,Health,Manager,1126.99,2010-05-02,2018-05-09,Contract End,0
1025,Southeast Asian,Logistics,Cook,195.48,2009-11-26,2021-10-09,Resignation,0
1026,Arab,Construction,Manager,1392.82,2020-04-06,2023-10-23,Resignation,0
1027,Arab,Health,Driver,198.14,2010-02-03,2011-07-22,Resignation,0
1028,South Asian,Retail,Cook,193.56,2021-07-17,2024-02-19,Termination,1
1029,South Asian,Health,Nurse,379.34,2008-09-29,2019-07-13,Termination,0
1030,Arab,Construction,Accountant,436.47,2019-04-17,2024-11-15,Resignation,0
1031,South Asian,Hospitality,Labourer,116.06,2010-07-26,2018-03-25,Termination,0
1032,South Asian,Construction,Nurse,358.78,2011-06-17,2016-07-26,Contract End,0
1033,South Asian,IT,Accountant,306.69,2010-02-21,2015-10-17,Resignation,0
1034,Arab,Logistics,Manager,1134.64,2004-04-15,2012-08-21,Contract End,0
1035,Arab,IT,Helper,112.07,2011-04-26,2020-07-14,Resignation,0
1036,Southeast Asian,Construction,Helper,104.32,2012-03-04,2013-09-27,Termination,1
1037,South Asian,Construction,IT Professional,755.06,2013-10-24,2020-06-02,Resignation,0
1038,Arab,Logistics,Accountant,201.31,2008-06-17,2012-06-04,Contract End,0
1039,South Asian,Retail,Engineer,823.75,2016-03-09,2021-01-30,Resignation,0
1040,South Asian,Health,Labourer,112.88,2007-06-18,2010-09-08,Resignation,0
1041,Arab,Logistics,Clerk,159.41,2016-03-07,2021-09-01,Resignation,0
1042,South Asian,Construction,Electrician,136.52,2011-01-17,2013-09-03,Termination,1
1043,Western,Construction,Accountant,391.2,2013-06-15,2014-09-24,Resignation,0
1044,South Asian,Logistics,Clerk,212.13,2006-01-05,2017-05-30,Termination,0
1045,South Asian,Construction,Labourer,107.94,2004-01-10,2012-03-10,Resignation,1
1046,Western,Hospitality,Engineer,1098.4,2017-07-15,2021-12-23,Termination,0
1047,South Asian,Retail,Clerk,229.08,2008-09-23,2014-12-23,Contract End,0
1048,South Asian,IT,Labourer,108.85,2017-12-09,2020-12-22,Termination,1
1049,Southeast Asian,Finance,IT Professional,623.9,2001-02-14,2012-07-19,Resignation,0
1050,Arab,Construction,Cook,153.08,2012-12-03,2015-04-28,Resignation,0
1051,African,Construction,Driver,183.37,2013-07-10,2022-12-13,Resignation,0
1052,Western,Oil & Gas,Helper,110.09,2002-12-08,2011-08-22,Termination,0
1053,African,Logistics,Helper,116.96,2018-04-18,2024-02-19,Resignation,0
1054,South Asian,Hospitality,Manager,1959.21,2011-03-05,2015-01-22,Termination,0
1055,Southeast Asian,Health,Manager,1635.64,2008-09-24,2011-08-27,Resignation,0
1056,South Asian,Construction,Nurse,552.21,2007-09-14,2012-09-26,Termination,0
1057,Southeast Asian,Construction,Engineer,1061.96,2005-08-29,2015-01-27,Resignation,0
1058,Southeast Asian,Construction,Clerk,240.4,1999-05-25,2010-12-18,Resignation,0
1059,Arab,Construction,Nurse,588.17,2008-02-11,2020-01-24,Resignation,0
1060,Arab,Retail,Engineer,611.49,2021-09-08,2023-02-20,Resignation,0
1061,South Asian,Construction,Electrician,240.71,2012-11-28,2017-04-08,Resignation,0
1062,South Asian,Construction,IT Professional,435.5,2008-04-14,2011-09-09,Termination,0
1063,South Asian,Retail,Helper,137.35,2014-10-17,2018-11-27,Termination,0
1064,Southeast Asian,Oil & Gas,Labourer,139.25,2001-01-26,2012-01-29,Termination,1
1065,Arab,Hospitality,Driver,170.77,2015-05-24,2021-11-22,Termination,0
1066,Arab,Construction,Manager,1019.11,2001-01-01,2012-04-30,Termination,0
1067,African,Construction,Electrician,232.52,2013-01-18,2023-02-25,Contract End,0
